"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2017",50853.615427,
"AUT","GDP","TOT","USD_CAP","A","2017",54185.337013,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FRA","GDP","TOT","USD_CAP","A","2017",44480.722199,
"DEU","GDP","TOT","USD_CAP","A","2017",52952.897774,
"GRC","GDP","TOT","USD_CAP","A","2017",28644.977147,
"HUN","GDP","TOT","USD_CAP","A","2017",29465.126306,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"IRL","GDP","TOT","USD_CAP","A","2017",78739.398464,
"ITA","GDP","TOT","USD_CAP","A","2017",41581.131252,
"JPN","GDP","TOT","USD_CAP","A","2017",40992.39323,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"LUX","GDP","TOT","USD_CAP","A","2017",112187.731906,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NZL","GDP","TOT","USD_CAP","A","2017",42074.660571,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"SVK","GDP","TOT","USD_CAP","A","2017",30082.484108,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"CHE","GDP","TOT","USD_CAP","A","2017",69103.567686,
"TUR","GDP","TOT","USD_CAP","A","2017",28193.061398,
"GBR","GDP","TOT","USD_CAP","A","2017",45757.778123,
"USA","GDP","TOT","USD_CAP","A","2017",60091.568784,
"CHL","GDP","TOT","USD_CAP","A","2017",24402.005375,
"CHN","GDP","TOT","USD_CAP","A","2017",14306.396116,
"COL","GDP","TOT","USD_CAP","A","2017",14479.812544,
"EST","GDP","TOT","USD_CAP","A","2017",33902.097344,
"IDN","GDP","TOT","USD_CAP","A","2017",11050.882373,
"ISR","GDP","TOT","USD_CAP","A","2017",38849.910298,
"RUS","GDP","TOT","USD_CAP","A","2017",25926.431403,
"SVN","GDP","TOT","USD_CAP","A","2017",36515.702826,
"ZAF","GDP","TOT","USD_CAP","A","2017",12810.965544,
"OECD","GDP","TOT","USD_CAP","A","2017",43432.409289,
"OECDE","GDP","TOT","USD_CAP","A","2017",42481.403506,
"LVA","GDP","TOT","USD_CAP","A","2017",28666.003742,
"BRA","GDP","TOT","USD_CAP","A","2017",14596.889676,
"LTU","GDP","TOT","USD_CAP","A","2017",33761.906595,
"SAU","GDP","TOT","USD_CAP","A","2017",47862.022249,
"EA19","GDP","TOT","USD_CAP","A","2017",45623.32978,
"ARG","GDP","TOT","USD_CAP","A","2017",23597.117759,
"CRI","GDP","TOT","USD_CAP","A","2017",20368.230268,
"BGR","GDP","TOT","USD_CAP","A","2017",21387.279564,
"HRV","GDP","TOT","USD_CAP","A","2017",26765.579327,
"CYP","GDP","TOT","USD_CAP","A","2017",38050.911642,
"MLT","GDP","TOT","USD_CAP","A","2017",42598.933746,
"ROU","GDP","TOT","USD_CAP","A","2017",27136.07319,
"MKD","GDP","TOT","USD_CAP","A","2017",15706.430869,"E"
"ZMB","GDP","TOT","USD_CAP","A","2017",3484.940724,
"HKG","GDP","TOT","USD_CAP","A","2017",59846.819225,"E"
"MDG","GDP","TOT","USD_CAP","A","2017",1601.521574,"E"
"MAR","GDP","TOT","USD_CAP","A","2017",7581.215412,"E"
"SGP","GDP","TOT","USD_CAP","A","2017",94945.250892,
"EU27_2020","GDP","TOT","USD_CAP","A","2017",40728.833216,
